expnum,rudeness,picgender,picage,threatlevel,fairlevel,funclevel,trustlevel,expgender,firstgroup
1,0,1,0,4,7,7,7,1,polmale
1,0,1,1,4,7,7,7,1,polmale
1,1,1,0,7,5,1,3,1,rudemale
1,0,0,0,4,7,7,7,1,polmale
1,0,0,1,4,7,7,7,1,polmale
1,1,1,1,7,1,1,3,1,rudemale
1,1,0,1,7,1,1,3,1,rudemale
1,0,0,0,4,7,7,7,1,polmale
2,0,0,0,7,7,7,6,1,polmale
2,1,0,0,,,,,1,rudemale
2,1,0,1,7,6,6,6,1,rudemale
2,1,1,1,7,7,7,6,1,rudemale
2,0,1,1,5,7,7,6,1,polmale
2,1,1,0,7,6,6,6,1,rudemale
2,0,0,1,5,7,7,7,1,polmale
2,0,1,0,5,7,7,7,1,polmale
3,0,1,0,3,5,5,6,0,polfem
3,0,0,1,3,5,5,6,0,polfem
3,1,1,1,6,4,6,5,0,rudefem
3,0,1,1,3,5,5,6,0,polfem
3,1,1,0,6,4,6,5,0,rudefem
3,0,0,0,3,5,5,6,0,polfem
3,1,0,0,6,3,6,5,0,rudefem
3,1,0,1,6,5,6,6,0,rudefem
4,0,1,1,3,6,6,6,0,polfem
4,1,0,1,6,6,2,2,0,rudefem
4,1,1,1,6,6,2,2,0,rudefem
4,0,0,0,2,6,6,6,0,polfem
4,1,1,0,6,6,2,2,0,rudefem
4,0,1,0,2,6,6,6,0,polfem
4,0,0,1,2,6,6,6,0,polfem
4,1,0,0,6,6,2,2,0,rudefem
5,1,1,0,7,3,5,6,1,rudemale
5,0,0,1,3,7,4,4,1,polmale
5,0,0,0,3,7,4,4,1,polmale
5,1,0,0,,,,,1,rudemale
5,1,0,1,7,5,4,4,1,rudemale
5,0,1,1,3,7,4,4,1,polmale
5,0,1,0,3,7,4,4,1,polmale
5,1,1,1,7,5,4,4,1,rudemale
6,0,1,1,1,7,7,7,1,polmale
6,0,0,0,1,7,7,7,1,polmale
6,0,0,0,1,7,7,7,1,polmale
6,1,0,0,,,,,1,rudemale
6,1,1,0,7,1,7,7,1,rudemale
6,0,1,0,1,1,7,7,1,polmale
6,1,0,1,7,4,7,7,1,rudemale
6,0,0,1,1,7,7,7,1,polmale
6,1,1,1,7,7,7,7,1,rudemale
7,0,0,1,4,7,4,7,1,polmale
7,0,1,1,4,7,4,7,1,polmale
7,1,1,0,6,2,2,2,1,rudemale
7,0,0,0,4,7,4,7,1,polmale
7,1,1,1,6,2,2,2,1,rudemale
7,1,0,1,6,2,2,2,1,rudemale
7,1,0,0,6,2,2,2,1,rudemale
7,0,1,0,4,7,4,7,1,polmale
8,0,0,1,5,6,4,6,1,polmale
8,0,1,1,5,7,6,6,1,polmale
8,0,1,0,5,6,6,6,1,polmale
8,1,1,0,7,3,3,3,1,rudemale
8,0,0,0,5,5,5,5,1,polmale
8,1,0,1,7,3,3,3,1,rudemale
8,1,1,1,7,3,3,3,1,rudemale
8,1,0,0,7,3,3,3,1,rudemale
9,0,1,1,4,7,7,7,0,polfem
9,0,0,0,4,7,7,7,0,polfem
9,1,0,0,5,6,4,7,0,rudefem
9,1,1,0,6,4,1,1,0,rudefem
9,1,1,1,5,6,4,7,0,rudefem
9,0,1,0,4,5,1,1,0,polfem
9,1,0,1,5,4,4,7,0,rudefem
9,0,0,1,4,7,7,7,0,polfem
